Job Title,Company,Location,Category,Expiry Date,Description,Source Site,Apply Email
Injection Mold  Operator,N/A,Harare,Management,Expires 06 Dec 2025,"INJECTION MOLD OPERATOR REPORTS TO PRODUCTION SUPERVISOR JOB SUMMARY A manufacturing organization is looking to engage a qualified and experienced person. The position requires an individual with experience in the plastics manufacturing industry. As the organization has aggressive expansion plans, we require a high calibre, proven experience in running plastic",VacancyMail,denverrecruit1224@gmail.com
CALL FOR EXPRESSION OF INTEREST FOR CONSULTANCY SERVICES FOR THE DESIGN AND IMPLEMENTATION OF A CAPACITY DEVELOPMENT PROGRAM FOR SIMUKAI CHILD PROTECTION PROGRAMME,Simukai Child Protection Program,Harare,NGO & Development,Expires 05 Dec 2025,"Simukai Child Protection Programme (PVO27/12) (http://www.simukaicpp.org.zw)is a multi-service Organization that provides a range of child and youth-based programs for the community. It was established to serve children and youths in a holistic and inclusive manner based on the Eco-systemic child rights approach. The Organization also empowers children, young people and",VacancyMail,peterc@simukaicpp.org.zw
"DENTAL NURSE (Sponsored Trainee), AVENUES + BORROWDALE BASED",DOMBOSHAVA MEDCLINIC,Harare,Healthcare,Expires 02 Nov 2025,"1. Digital Proficiency: Strong command of internet essentials, proven secretarial skills, and demonstrated computer literacy are required. 2. Front Office and Public Relations: Responsible for reception duties and maintaining a professional public image for the organisation. 3. Stakeholder Communication: Handle communication with external partners, clients, and stakeholders in a courteous",VacancyMail,N/A
Sales Officer,Corporate 24 Hospital Group,Harare,Sales & Marketing,Expires 30 Sep 2025,Our organization is growing and we are looking for a dynamic and results-driven Sales Officer to join our team.,VacancyMail,recruitment@corp24med.com
Tipper Truck Driver,Geo Pomona Waste Management,Harare,Transportation & Logistics,Expires 17 Sep 2025,"Dump truck drivers transport paving materials, construction supplies, dirt, or garbage to and from various locations. They drive trucks equipped with open beds that allow for the transportation of dirt, rocks, sand, coal, or gravel.",VacancyMail,hr@geopomona.com
Foreman (Diesel Plant Fitter),Geo Pomona Waste Management,Harare,Engineering,Expires 17 Sep 2025,"We are looking for a highly organized and experienced Foreman to oversee the maintenance and repair operations of our company's vehicle fleet. The Foreman is responsible for ensuring that all vehicles are operating safely, efficiently, and in compliance with all relevant regulations. This role involves managing a team of mechanics",VacancyMail,hr@geopomona.com
Sweeper Truck Operator,Geo Pomona Waste Management,Harare,NGO & Development,Expires 17 Sep 2025,"Responsible for the operation of street sweeping truck to maintain cleanliness in urban areas. This role involves ensuring that streets, sidewalks, and public spaces are free of waste and litter, contributing to the overall visible and hygiene of the community.",VacancyMail,hr@geopomona.com
Receptionist,N/A,Harare,Administration,Expires 15 Sep 2025,"We are seeking a highly motivated, energetic, and professional Receptionist who is not only the face of M&J Africa but also contributes to business growth. The ideal candidate will combine strong communication and interpersonal skills with a passion for sales, teamwork, and continuous learning.",VacancyMail,hr@mjconsultants.co.zw
Accountant,N/A,Harare,Finance & Banking,Expires 14 Sep 2025,"We are recruiting, on behalf of our client in the construction industry, a detail-oriented and highly organized Accountant to join their finance team. The ideal candidate will have a strong background in reconciliations, taxation, and preparation of financial statements, with experience in construction or retail being a significant advantage.",VacancyMail,hr@mjconsultants.co.zw
French Teacher,N/A,Bindura,Education & Training,Expires 14 Sep 2025,"Curriculum Delivery: Instruct students in French language, literature, and culture, adhering to the Cambridge curriculum framework. Lesson Planning and Delivery: Develop and implement engaging and effective lesson plans that cater to diverse learning styles. Assessment and Feedback: Assess student learning through various methods, provide feedback on their progress, and communicate",VacancyMail,schoolrecruitment2022@gmail.com
Salesperson,N/A,Harare,Sales & Marketing,Expires 14 Sep 2025,We are looking for a results-driven Sales Person with experience in preparing tender documents and bids to join our growing team. The ideal candidate will combine strong sales acumen with meticulous attention to detail in tender preparation and submission.,VacancyMail,hr@mjconsultants.co.zw
Salesperson,N/A,Harare,Sales & Marketing,Expires 14 Sep 2025,We are looking for a results-driven Sales Person with experience in preparing tender documents and bids to join our growing team. The ideal candidate will combine strong sales acumen with meticulous attention to detail in tender preparation and submission.,VacancyMail,hr@mjconsultants.co.zw
Waste Collection Manager,Geo Pomona Waste Management,Harare,Management,Expires 13 Sep 2025,Waste Collection Manager is responsible for ensuring that waste is collected safely and in compliance with environmental standards. They also manage the waste collection team and develop and implement waste collection plans.,VacancyMail,hr@geopomona.com
Business Development Manager,Geo Pomona Waste Management,Harare,Sales & Marketing,Expires 13 Sep 2025,"As a business development manager, you'll identify new business opportunities in Waste Management in order to generate revenue, improve profitability and help the business grow through strategic service provision to potential, and existing clients. As a business development personnel you should poses a thorough understanding of our services, our intended",VacancyMail,hr@geopomona.com
Property sales agents,N/A,Harare,Sales & Marketing,Expires 11 Sep 2025,"We are recruiting on behalf of our client for a professional, driven, and customer-focused Property Sales Agent who is passionate about real estate and thrives in a client-facing role. This position is perfect for someone who enjoys building relationships, showcasing properties, and closing deals. You'll be responsible for actively promoting",VacancyMail,hr@mjconsultants.co.zw
Brand and Content Specialist,Webdev Group,Harare,Sales & Marketing,Expires 10 Sep 2025,"Join Our Team! Brand & Content Specialist Are you passionate about fintech storytelling, digital marketing, and brand building? Paynow is looking for a creative Brand and Content Specialist to help shape and grow a powerful brand presence across Zimbabwe and beyond.",VacancyMail,N/A
Receptionist,N/A,Harare,Administration,Expires 08 Sep 2025,An excellent oppoturnity for a young and vibrant professional to work in an awesome and collaboratibve environement supporting the team with top of the class client services support!,VacancyMail,recruitments20245@gmail.com
CALL FOR EXPRESSION OF INTEREST TO HOST SIDE SESSIONS AT #ZAMI25,Zimbabwe Environmental Law Association (ZELA),Bulawayo,NGO & Development,Expires 07 Sep 2025,"Theme: From extraction to sustainable development: unlocking Zimbabwe's mineral wealth for inclusive growth in the just energy transition. BACKGROUND Zimbabwe Coalition on Debt and Development (ZIMCODD), Zimbabwe Council of Churches (ZCC) & Zimbabwe Environmental Law Association (ZELA) are seeking expressions of interest to host half-day side sessions at the 13th",VacancyMail,joyce@zela.org
Social Media Marketing Person,N/A,Bindura,Sales & Marketing,Expires 07 Sep 2025,"The School Social Media Marketing Personnel is responsible for developing and implementing the school's social media strategy to promote its brand, engage with the school community (prospective and current students, parents, alumni, and staff), and support admissions and communication goals. This role requires a strong understanding of various social media",VacancyMail,schoolrecruitment2022@gmail.com
HOUSE MAID,Hammer and Tongues Africa Holdings,Harare,NGO & Development,Expires 05 Sep 2025,"Cleaning, Washing and Preparing meals",VacancyMail,zimexecposts2030@gmail.com
Sales Representative,N/A,Harare,Sales & Marketing,Expires 04 Sep 2025,"On behalf of our client, we are recruiting for the position of Sales Representative. We are seeking a driven and results-oriented individual to join their team. The successful candidate will be responsible for identifying potential clients, making cold calls, following up on leads, conducting client meetings, preparing proposals, and delivering",VacancyMail,hr@mjconsultants.co.zw
CALL FOR EXPRESSION OF INTEREST : Support to private sector for development and launch of products based on traditional ingredients,Bio-Innovation Zimbabwe (BIZ),Harare,NGO & Development,Expires 03 Sep 2025,"CALL FOR EXPRESSION OF INTEREST Support to private sector for development and launch of products based on traditional ingredients Deadline: 3 September 2025, 5pm This is a call to support work under the BMZ-funded Building inclusive, diverse and quality food systems in Mudzi and Rushinga districts (Pundutso) project, implemented by",VacancyMail,N/A
Wages Clerk,N/A,Harare,Administration,Expires 01 Sep 2025,Wages Clerk wanted,VacancyMail,nikkisamjones@gmail.com
Group Managing Director,N/A,Harare,Management,Expires 31 Aug 2025,Group Managing Director,VacancyMail,recruitment.miningzimbabwe@gmail.com
Group Project Management Administrator,N/A,Harare,Administration,Expires 31 Aug 2025,Group Project Management Administrator,VacancyMail,recruitment.miningzimbabwe@gmail.com
BURSAR,ZIMCARE TRUST,Harare,Finance & Banking,Expires 31 Aug 2025,"The Bursar is responsible for professional handling of all finances at the centre, submitting returns and preparing all books for both internal and external audit.",VacancyMail,zimcarerecruitment@gmail.com
SENIOR NURSE AIDE (PA/Secretary) to NURSING MATRON,DOMBOSHAVA MEDCLINIC,Harare,Healthcare,Expires 31 Aug 2025,1. Internet essentials 2. Reception duties 3. Communication with external stakeholders 4. Hospital secretarial duties 5. Minute taking 6. Assist the Midwife as a senior nurse aide 7. Assist the dentist during clinical work. 8. AODs as directed by Matron This is not a position for chancers. Only those who,VacancyMail,N/A
Procurement and logistics officer,Plus Five Pharmaceuticals,Bulawayo,Transportation & Logistics,Expires 31 Aug 2025,"As a Procurement And Logistics Officer, you will be responsible for managing the procurement of raw materials, supplies, and equipment, as well as coordinating logistics and supply chain operations to ensure timely and efficient delivery of products. This is an urgent requirement, and the successful candidate will be expected to",VacancyMail,pplusfivehealthcare01@gmail.comCc
Sales Agents: MicroMed,First Mutual Holdings Limited,Mutare,Sales & Marketing,Expires 31 Aug 2025,We're Hiring Sales Agents Job description We are seeking motivated sales agents to sell our health insurance product in the following cities: 1. Harare 2. Bulawayo 3. Gweru 4. Masvingo 5. Mutare 6. Zvishavane 7. Beitbridge 8. Kadoma 9. Chinhoyi,VacancyMail,MicromedFMHC@firstmutual.co.zw
DENTAL & MEDICAL SURGERY ASSISTANT/NURSE AIDE ATTACHEE,DOMBOSHAVA MEDCLINIC,Harare,Healthcare,Expires 31 Aug 2025,This is not a position for chancers. Only those who comply with minimum listed requirements can apply. What is a dental surgery assistant? This is a trainee position not a job offer. During and after training your responsibilities may include preparing patients and the operating room for the dentist. You,VacancyMail,N/A
Web & Graphic Designer,N/A,Harare,NGO & Development,Expires 30 Aug 2025,"We are looking for a talented individual who not only has a strong aesthetic sense but also possesses robust technical skills in website development, specifically with WordPress and Elementor. This role is perfect for a self-motivated learner who is passionate about creating seamless and engaging digital experiences. You will be",VacancyMail,tohr@mjconsultancy.co.zw
Van sales representatives,Plus Five Pharmaceuticals,Harare,Sales & Marketing,Expires 30 Aug 2025,"A leading distributor of pharmaceutical and beauty care products in Zimbabwe. We are seeking a skilled and experienced Van Sales Representative to join our team and drive sales growth to supermarkets, pharmacies, and shops in Harare and the surrounding provinces. As a Van Sales Representative, you will be responsible for",VacancyMail,pplusfivehealthcare01@gmail.com
INTERNS- SALES AND MARKETING / SUPPLY CHAIN MANAGEMENT,Nash Paints,Harare,Sales & Marketing,Expires 30 Aug 2025,Nash Paints is looking for Sales and Marketing/ Supply Chain Management Attachees to join their organization.,VacancyMail,N/A
Till Operators and Shop Assistants,Southsea Investments Pvt Ltd,Harare,Administration,Expires 30 Aug 2025,"Are you passionate about retail and looking for a rewarding career? We are a leading retail company committed to excellence, customer satisfaction, and employee growth. We are currently hiring for multiple positions across various departments. If you have the skills, experience, and enthusiasm to thrive in a fast-paced retail environment,",VacancyMail,opportunities@spar.co.zw
Telesales Representative - Pharmaceutical and Beauty Care Products,Plus Five Pharmaceuticals,Harare,Sales & Marketing,Expires 30 Aug 2025,"As a Telesales Representative, you will be responsible for selling our range of pharmaceutical and beauty care products to our target market via telephone. You will build relationships with customers, identify new sales opportunities, and achieve sales targets.",VacancyMail,pplusfivehealthcare01@gmail.com
"Senior Program Manager: Climate, Environment and Health  (Mt Darwin/ Harare)",CeSHHAR Zimbabwe,Harare,IT & Technology,Expires 29 Aug 2025,"CeSHHAR Zimbabwe is an organisation that specialises in population health research and programming, including on sexual and reproductive health and HIV/AIDS. CeSHHAR has an extensive national, regional, and international academic and community partnership network. CeSHHAR has a diverse range of funders which include the Wellcome Trust, Gates Foundation, United States",VacancyMail,vacancies@ceshhar.org
NURSE ANAESTHETIST X1 - ZVISHAVANE,Cell Insurance Group,Zvishavane,Healthcare,Expires 29 Aug 2025,Applications are invited from suitably qualified and experienced candidates to fill the position of RGN-Anaesthetist that has arisen at Nectacare Private Limited in Zvishavane.,VacancyMail,hr@cellinsurance.co.zw
INTENSIVE AND CORONARY CARE NURSE X1 ZVISHAVANE,Cell Insurance Group,Zvishavane,Healthcare,Expires 29 Aug 2025,Description Applications are invited from suitably qualified and experienced candidates to fill the position of RGN-Intensive and Coronary Care Nurse that has arisen at Nectacare Private Limited in Zvishavane.,VacancyMail,hr@cellinsurance.co.zw
Primary School Teacher,N/A,Bindura,Education & Training,Expires 29 Aug 2025,"Our school seeks a qualified and dedicated Primary School Teacher to join our academic staff for the Third term 2025. The successful candidates will be responsible for delivering high-quality instruction in all core subjects, fostering a positive and productive learning environment, and assessing student progress effectively. We are looking for",VacancyMail,schoolrecruitment2022@gmail.com
Cashier,N/A,Chiredzi,Sales & Marketing,Expires 29 Aug 2025,"We are seeking a vibrant and customer-focused Cashier to join our client's team in Chiredzi. The ideal candidate should not only be efficient in handling transactions but also have a strong sales background and excellent upselling skills. A positive attitude, the ability to smile and engage warmly with customers, and",VacancyMail,hr@mjconsultants.co.zw
Sales and Marketing Officer,N/A,Harare,Sales & Marketing,Expires 28 Aug 2025,"We are recruiting on behalf of our client for a dynamic and results-driven Sales & Marketing Officer. This is an exciting opportunity for a mature and experienced individual who is passionate about sales and marketing, and eager to drive business growth through client acquisition, brand visibility, and market development in",VacancyMail,hr@mjconsultants.co.zw
SALES REPRESENTATIVE,N/A,Harare,Sales & Marketing,Expires 26 Aug 2025,"We are seeking a young, energetic, and enthusiastic Sales Representative aged between 19 and 21 years, who is quick to learn and confident in speaking to clients. The ideal candidate should possess strictly O' and A' Level qualifications and be passionate about sales, customer service, and building long-term client relationships.",VacancyMail,hr@mjconsultants.co.zw
Sales &Marketing Representative,Wovenstars,Harare,Sales & Marketing,Expires 25 Aug 2025,"Applications are invited from suitably qualified and experienced persons to fill in the position of a Sales and Marketing Representative responsible for building and maintaining customer relationships, tracking sales data and producing performance reports.",VacancyMail,recruitment@prodex.co.zw
Network Support Technician,N/A,Harare,IT & Technology,Expires 25 Aug 2025,"Location: Harare  Employment Type: Full-Time  Department: IT / Technical Support ---  Job Description We are looking for a proactive, solution-oriented IT professional to join our IT team at T.G. The successful candidate will play a critical role in ensuring our network infrastructure is stable, secure, and",VacancyMail,talentsearch205@gmail.com
Salesperson (Female) : RideSure Auto Imports,N/A,Harare,Sales & Marketing,Expires 25 Aug 2025,RideSure auto imports We're Hiring Salesperson (Female) We're looking for a motivated and dynamic Salesperson with a passion for sales and cars to join our motor vehicle import team.,VacancyMail,ridesurerecruitment@gmail.com
Tender For Security Services,Avondale Primary,Harare,Security,Expires 25 Aug 2025,REF: ADVERT FOR SECURITY COMPANY Avondale Primary School is looking for a reliable and experienced Security Company to provide security services to our premises.,VacancyMail,avonjnr@gmail.com
Caretaker,Avondale Primary,Harare,Education & Training,Expires 25 Aug 2025,"JOB ADVERT: CARETAKER Position: Caretaker Location: Avondale Primary School Type: Full-time/Part-time About the Role: We are looking for a reliable Caretaker to maintain our school's facilities, ensuring a clean and safe environment for our students.",VacancyMail,N/A
Loans Officers,N/A,Harare,Finance & Banking,Expires 25 Aug 2025,Wildfin Microfinance is hereby looking for loans officers,VacancyMail,humanresource@wildfinmicrofinance.co.zw
Call For Consultancy Services - Organizational Development  Staff Capacity Building Workshop,Adult RApe Clinic,Harare,Healthcare,Expires 24 Aug 2025,"The Adult Rape Clinic (ARC), is a specialised, survivor-centred service provider offering free medical and psychosocial support to survivors of sexual and gender-based violence (SGBV). Since its establishment in 2009, ARC has been at the forefront of delivering compassionate, confidential, and professional care while advocating for the prevention of SGBV",VacancyMail,N/A
Attach Digital Marketing Officer (Rusape),Symdunes Financial Services,Rusape,Sales & Marketing,Expires 24 Aug 2025,"The Attach Digital Marketing Officer will be responsible for creating and executing digital marketing campaigns that increase brand awareness, generate leads, and convert passive audiences to active customers as well as identifying and pursuing business opportunities. The Attach Digital Marketing Officer will report to the Marketing Officer.",VacancyMail,cvsymdunes@gmail.com
Attach Digital Marketing Officer (Rusape),Symdunes Financial Services,Rusape,Sales & Marketing,Expires 24 Aug 2025,"The Attach Digital Marketing Officer will be responsible for creating and executing digital marketing campaigns that increase brand awareness, generate leads, and convert passive audiences to active customers as well as identifying and pursuing business opportunities. The Attach Digital Marketing Officer will report to the Marketing Officer.",VacancyMail,cvsymdunes@gmail.com
Sales and Marketing Attachment,N/A,Mutare,Sales & Marketing,Expires 24 Aug 2025,Persons wanted for Sales and marketing attachment position in Mutare and must be 18 years and above.,VacancyMail,marketing@proclassicgroup.com
Driver,PELUM (Participatory Ecological Land Use Management Association),Harare,Administration,Expires 23 Aug 2025,"Position:Driver Location:Harare, with frequent travel to various districts Type:Full-time, 1-year contract (renewable based on performance) Reports to:Finance and Administration Officer Organizational Background Participatory Ecological Land Use Management (PELUM) Zimbabwe is a programme of the Zimbabwe Institute of Permaculture (ZIP), structured as a network of primarily civil society organizations working to",VacancyMail,pelumapps@gmail.com
INVITATION TO EXPRESS INTEREST,PELUM (Participatory Ecological Land Use Management Association),Harare,Engineering,Expires 22 Aug 2025,"SUBJECT: OPEN CALL FOR EXPRESSIONS OF INTEREST FOR CONSTRUCTION OF OFFICE SUPERSTRUCTURE. PELUM Zimbabwe is inviting qualified and experienced construction companies to submit Expressions of Interest (EOI) for the construction of the superstructure of its new office building, located in Mt. Hampden. Scope of Work",VacancyMail,info@pelumzimbabwe.org
Call for Expression of Interest (EOI) REQUEST FOR PROPOSALS FOR THE PROVISION OF EXTERNAL AUDITING SERVICES.,SOS Children's Villages Zimbabwe,Harare,Finance & Banking,Expires 22 Aug 2025,"General Information SOS Children's Villages is an independent, non-governmental international development organization which has been working to meet the needs and protect the interests and rights of children since 1949. SOS Children's Villages is the largest non-governmental, non-denominational charitable child welfare organisation in the world operating in 136 countries and",VacancyMail,procurement.sos@sos-zimbabwe.orgThe
Attach Loans Officer (Chimanimani),Symdunes Financial Services,Chimanimani,Finance & Banking,Expires 22 Aug 2025,"The Attach Loan officer will evaluate, authorize approval or deny loan applications for people or for business, act as liaison between customers and our financial institution and help qualified applicants acquire loans in a timely manner. The Attach Loans Officer will report to the Senior Loans Officer.",VacancyMail,cvsymdunes@gmail.com
Environmental Law Guide :CONSULTANCY,Zimbabwe Environmental Law Association (ZELA),Harare,Consulting,Expires 22 Aug 2025,"1. Background The Zimbabwe Environmental Law Organisation through its research arm, the Africa Institute of Environmental Law has partnered with Midlands State University and University of Zimbabwe to establish environmental law units within the existing legal aid clinic. 2. Consultant Services Required The project through the services of a consultant",VacancyMail,procurementzw@gmail.com
Business Intelligence Manager,Bakers Inn,Harare,Management,Expires 22 Aug 2025,Superlinx Logistics Pvt Ltd t/a Baker's Inn is seeking a results-driven and visionary BUSINESS INTELLIGENCE MANAGER to lead and centralize data analytics and reporting across its three dynamic business units:,VacancyMail,hr@bakersinnzim.com
"Graduate Trainees : SHE, Mining",Jena Mines (Pvt) Ltd,Harare,IT & Technology,Expires 22 Aug 2025,"An exciting opportunity to undergo an intensive graduate trainee program has arisen within Jena Mines, and applications are invited from suitably qualified graduates to fill the positions for the following disciplines: SHE x 2 2. Mining x2",VacancyMail,recruitment@jenagold.co.zw
Graduate Trainees- Stores,Isteel and Pump Solutions,Harare,Other,Expires 22 Aug 2025,We are looking for graduate trainees to work in our stores department,VacancyMail,hrisp914@gmail.com
Sales Admin,N/A,Harare,Sales & Marketing,Expires 22 Aug 2025,Looking for a highly skilled Sales Admin to join our dynamic team,VacancyMail,jobvacancies263@gmail.com
MECHANIC (DIESEL HEAVY VEHICLE),Turnpick Timbers,Penhalonga,Engineering,Expires 22 Aug 2025,"We are an established company looking fo a suitably experienced and qualified Diesel Mechanic responsible for the repair and maintance of our fleet of heavy and light vehicles. These include Trucks, Tractors, Graders, Front ends loaders and other vehicles. This will be in a well equiped workshop with frequent field",VacancyMail,hr.turnpicktimbers@gmail.com
Environmental Law Guide :CONSULTANCY,Zimbabwe Environmental Law Association (ZELA),Harare,Consulting,Expires 22 Aug 2025,"1. Background The Zimbabwe Environmental Law Organisation through its research arm, the Africa Institute of Environmental Law has partnered with Midlands State University and University of Zimbabwe to establish environmental law units within the existing legal aid clinic. 2. Consultant Services Required The project through the services of a consultant",VacancyMail,procurementzw@gmail.com
Graduate Trainees- Stores,Isteel and Pump Solutions,Harare,Other,Expires 22 Aug 2025,We are looking for graduate trainees to work in our stores department,VacancyMail,hrisp914@gmail.com
Accounts Attach,N/A,Harare,Finance & Banking,Expires 21 Aug 2025,"A local manufacturing company seeks to hire an efficient, well-organized, self-motivated, dynamic, and multi-skilled individual to join our organization in the position listed below. The selected incumbent will be based at our Harare Factory Office. Post: Accounts Attach",VacancyMail,avacancies5@gmail.com
Temporary Business Analyst,Small and Medium Enterprise Development Corporation SMEDCO,Harare,Finance & Banking,Expires 21 Aug 2025,The position exists to handle loan enquiries in the processing of applications and the administration of accounts as representatives of SMEDCO to ensure the implementation of lending facilities to all stakeholders.,VacancyMail,humanresources@smedco.co.zw
Master Kiln Burners X2,Khayah Cement Limited,Harare,Other,Expires 21 Aug 2025,"An Exciting opportunity has arisen at Khayah Cement for suitably qualified and experienced persons for the above post, which has arisen in the Pyro-Processing (Kiln Production) Department.",VacancyMail,hr@khayahcement.com
Intern,Small and Medium Enterprise Development Corporation SMEDCO,Harare,IT & Technology,Expires 21 Aug 2025,Applications are invited from suitably qualified and experienced candidates to fill the post: Intern 1 (Harare Branch),VacancyMail,humanresources@smedco.co.zw
Graduate Intern - People & Culture,World Vision,Harare,Administration,Expires 21 Aug 2025,"Location: Suburbs Office, Bulawayo x 1 Purpose of the position World Vision Zimbabwe is seeking a passionate and detail-oriented Graduate Intern - People & Culture to support HR operations across grants and program areas. This internship offers hands-on exposure to key HR functions in a fast-paced, purpose-driven environment.",VacancyMail,zimo_careers@wvi.org
Finance Intern,The Biotech Institute,Harare,Finance & Banking,Expires 20 Aug 2025,"The Biotech Institute is seeking a Finance Intern to support day-to-day finance and administration across our laboratories and distribution operations. The role includes processing transactions, reconciliations, credit control support, and assisting with audits and inventory accounting. You'll also handle occasional bank runs and document deliveries-so a valid driver's licence is",VacancyMail,applications@biotechinst.com
General Manager - Auctioneering Division,N/A,Harare,Management,Expires 20 Aug 2025,ANONYMOUS JOB ADVERTISEMENT 1. GENERAL MANAGER - AUCTIONEERING DIVISION JOB SUMMARY Overall Management of Auction Business,VacancyMail,realpropertieszim@gmail.com
Finance Manager - Property Division,N/A,Harare,Management,Expires 20 Aug 2025,FINANCE MANAGER - PROPERTY DEVELOPMENT DIVISION JOB SUMMARY Overall Management of the Finance Function for the Real Estate Division,VacancyMail,realpropertieszim@gmail.com
Reservation Manager (Manor House),Traverze Travel,Harare,Management,Expires 20 Aug 2025,"As the Reservation Manager, you will oversee all bookings and reservations at The Manor House, ensuring a seamless guest experience from inquiry to arrival. Your role is central to optimizing occupancy, maintaining guest satisfaction, and supporting front-of-house efficiency.",VacancyMail,perfect@lounge.co.zw
Nurse Aid,The Biotech Institute,Harare,Healthcare,Expires 20 Aug 2025,"The Biotech Institute clinic seeks a Nurse Aide with strong front-of-house etiquette to support our Medical Doctor and keep patient flow smooth. The role blends clinical assistance (within nurse-aide scope under supervision) and reception duties (welcome desk, phones, bookings). Significant prior experience in a clinic/GP setting is essential. Duties are",VacancyMail,applications@biotechinst.com
Security Guards,N/A,Harare,Security,Expires 20 Aug 2025,"We are conducting an explosive mass recruitment drive for a minimum of 100 experienced, mature, and highly disciplined proffessional Security Guards to be deployed at a strategic mining environment between Chegutu, Kwekwe Mt Darwin and Harare Regions. This is a serious, high-demand opportunity suited for professionals ready to serve with",VacancyMail,vacancies2018@gmail.com
BLOCK FOREMAN x 3,Green Fuel,Chipinge,IT & Technology,Expires 20 Aug 2025,"Applications are invited from suitably qualified individuals to fill the above vacancy that has arisen in the Fields Department,",VacancyMail,energy.mutakaya@greenfuel.co.zw
Production attachees,Nash Paints,Harare,Engineering,Expires 20 Aug 2025,Nash Paints is looking for a Chemical Engineering Attachee to join their organisation as a production attachee,VacancyMail,N/A
Customer Service & Sales Representatives,N/A,Harare,Sales & Marketing,Expires 20 Aug 2025,"Vacancy Notice: Customer Service & Sales Representatives Location: Harare Are you a dynamic, articulate, and driven individual looking to kickstart your career in Customer Service and Sales? Do you have strong communication skills and the ability to connect with people across different platforms (chat, email, voice, and face-to-face)? If so,",VacancyMail,tgjoinus@gmail.com
Legal Secretary / Receptionist,N/A,Harare,Administration,Expires 20 Aug 2025,"Vacancy: Legal Secretary / Receptionist A local Law Firm is looking for a young, dynamic individual with a legal background to join their growing legal team.",VacancyMail,legaldepartmentzim@gmail.com
