Job Title,Company,Location,Category,Expiry Date,Description,Source Site,Apply Email
Injection Mold  Operator,N/A,Harare,Management,Expires 06 Dec 2025,"INJECTION MOLD OPERATOR REPORTS TO PRODUCTION SUPERVISOR JOB SUMMARY A manufacturing organization is looking to engage a qualified and experienced person. The position requires an individual with experience in the plastics manufacturing industry. As the organization has aggressive expansion plans, we require a high calibre, proven experience in running plastic",VacancyMail,denverrecruit1224@gmail.com
CALL FOR EXPRESSION OF INTEREST FOR CONSULTANCY SERVICES FOR THE DESIGN AND IMPLEMENTATION OF A CAPACITY DEVELOPMENT PROGRAM FOR SIMUKAI CHILD PROTECTION PROGRAMME,Simukai Child Protection Program,Harare,NGO & Development,Expires 05 Dec 2025,"Simukai Child Protection Programme (PVO27/12) (http://www.simukaicpp.org.zw)is a multi-service Organization that provides a range of child and youth-based programs for the community. It was established to serve children and youths in a holistic and inclusive manner based on the Eco-systemic child rights approach. The Organization also empowers children, young people and",VacancyMail,peterc@simukaicpp.org.zw
"DENTAL NURSE (Sponsored Trainee), AVENUES + BORROWDALE BASED",DOMBOSHAVA MEDCLINIC,Harare,Healthcare,Expires 02 Nov 2025,"1. Digital Proficiency: Strong command of internet essentials, proven secretarial skills, and demonstrated computer literacy are required. 2. Front Office and Public Relations: Responsible for reception duties and maintaining a professional public image for the organisation. 3. Stakeholder Communication: Handle communication with external partners, clients, and stakeholders in a courteous",VacancyMail,N/A
Sales Officer,Corporate 24 Hospital Group,Harare,Sales & Marketing,Expires 30 Sep 2025,Our organization is growing and we are looking for a dynamic and results-driven Sales Officer to join our team.,VacancyMail,recruitment@corp24med.com
Systems Administrator,Traversal Trading,Harare,Administration,Expires 29 Sep 2025,"The System Administrator will be responsible for managing and maintaining the company's IT systems, ensuring security, availability, and efficiency.",VacancyMail,hr@traversal.co.zw
Skip Truck Driver,Geo Pomona Waste Management,Harare,Transportation & Logistics,Expires 17 Sep 2025,"A skip truck driver is responsible for the safe transportation of empty and full skip bins to and from designated locations. This includes maneuvering the truck, securing loads, and ensuring timely deliveries according to schedules. They also handle waste disposal, potentially at nominated waste disposal centers, and may be involved",VacancyMail,hr@geopomona.com
Foreman (Diesel Plant Fitter),Geo Pomona Waste Management,Harare,Engineering,Expires 17 Sep 2025,"We are looking for a highly organized and experienced Foreman to oversee the maintenance and repair operations of our company's vehicle fleet. The Foreman is responsible for ensuring that all vehicles are operating safely, efficiently, and in compliance with all relevant regulations. This role involves managing a team of mechanics",VacancyMail,hr@geopomona.com
Tipper Truck Driver,Geo Pomona Waste Management,Harare,Transportation & Logistics,Expires 17 Sep 2025,"Dump truck drivers transport paving materials, construction supplies, dirt, or garbage to and from various locations. They drive trucks equipped with open beds that allow for the transportation of dirt, rocks, sand, coal, or gravel.",VacancyMail,hr@geopomona.com
Sweeper Truck Operator,Geo Pomona Waste Management,Harare,NGO & Development,Expires 17 Sep 2025,"Responsible for the operation of street sweeping truck to maintain cleanliness in urban areas. This role involves ensuring that streets, sidewalks, and public spaces are free of waste and litter, contributing to the overall visible and hygiene of the community.",VacancyMail,hr@geopomona.com
Concrete Mixer Truck Driver & Operator,Geo Pomona Waste Management,Harare,Transportation & Logistics,Expires 17 Sep 2025,"The Concrete Mixer Truck Driver and Operator is responsible for the safe and efficient operation of the concrete mixer truck to deliver ready-mix concrete to various construction sites. The role involves driving, operating the mixing equipment, ensuring proper handling of concrete, and maintaining the vehicle in compliance with company and",VacancyMail,hr@geopomona.com
Receptionist,N/A,Harare,Administration,Expires 15 Sep 2025,"We are seeking a highly motivated, energetic, and professional Receptionist who is not only the face of M&J Africa but also contributes to business growth. The ideal candidate will combine strong communication and interpersonal skills with a passion for sales, teamwork, and continuous learning.",VacancyMail,hr@mjconsultants.co.zw
Salesperson,N/A,Harare,Sales & Marketing,Expires 14 Sep 2025,We are looking for a results-driven Sales Person with experience in preparing tender documents and bids to join our growing team. The ideal candidate will combine strong sales acumen with meticulous attention to detail in tender preparation and submission.,VacancyMail,hr@mjconsultants.co.zw
Accountant,N/A,Harare,Finance & Banking,Expires 14 Sep 2025,"We are recruiting, on behalf of our client in the construction industry, a detail-oriented and highly organized Accountant to join their finance team. The ideal candidate will have a strong background in reconciliations, taxation, and preparation of financial statements, with experience in construction or retail being a significant advantage.",VacancyMail,hr@mjconsultants.co.zw
French Teacher,N/A,Bindura,Education & Training,Expires 14 Sep 2025,"Curriculum Delivery: Instruct students in French language, literature, and culture, adhering to the Cambridge curriculum framework. Lesson Planning and Delivery: Develop and implement engaging and effective lesson plans that cater to diverse learning styles. Assessment and Feedback: Assess student learning through various methods, provide feedback on their progress, and communicate",VacancyMail,schoolrecruitment2022@gmail.com
Salesperson,N/A,Harare,Sales & Marketing,Expires 14 Sep 2025,We are looking for a results-driven Sales Person with experience in preparing tender documents and bids to join our growing team. The ideal candidate will combine strong sales acumen with meticulous attention to detail in tender preparation and submission.,VacancyMail,hr@mjconsultants.co.zw
Business Development Manager,Geo Pomona Waste Management,Harare,Sales & Marketing,Expires 13 Sep 2025,"As a business development manager, you'll identify new business opportunities in Waste Management in order to generate revenue, improve profitability and help the business grow through strategic service provision to potential, and existing clients. As a business development personnel you should poses a thorough understanding of our services, our intended",VacancyMail,hr@geopomona.com
Waste Collection Manager,Geo Pomona Waste Management,Harare,Management,Expires 13 Sep 2025,Waste Collection Manager is responsible for ensuring that waste is collected safely and in compliance with environmental standards. They also manage the waste collection team and develop and implement waste collection plans.,VacancyMail,hr@geopomona.com
Property sales agents,N/A,Harare,Sales & Marketing,Expires 11 Sep 2025,"We are recruiting on behalf of our client for a professional, driven, and customer-focused Property Sales Agent who is passionate about real estate and thrives in a client-facing role. This position is perfect for someone who enjoys building relationships, showcasing properties, and closing deals. You'll be responsible for actively promoting",VacancyMail,hr@mjconsultants.co.zw
Brand and Content Specialist,Webdev Group,Harare,Sales & Marketing,Expires 10 Sep 2025,"Join Our Team! Brand & Content Specialist Are you passionate about fintech storytelling, digital marketing, and brand building? Paynow is looking for a creative Brand and Content Specialist to help shape and grow a powerful brand presence across Zimbabwe and beyond.",VacancyMail,N/A
Receptionist,N/A,Harare,Administration,Expires 08 Sep 2025,An excellent oppoturnity for a young and vibrant professional to work in an awesome and collaboratibve environement supporting the team with top of the class client services support!,VacancyMail,recruitments20245@gmail.com
Regional Technical Senior Specialist - Conflict,Chemonics FEWS NET,Harare,Consulting,Expires 08 Sep 2025,"Scope of Work Introduction The Famine Early Warning Systems Network (FEWS NET) is an integrated set of activities funded by the United States Government (USG) and is intended to provide timely, accurate, evidence-based, and transparent food insecurity early warning information and analysis. Created in 1985 in response to famines in",VacancyMail,N/A
Social Media Marketing Person,N/A,Bindura,Sales & Marketing,Expires 07 Sep 2025,"The School Social Media Marketing Personnel is responsible for developing and implementing the school's social media strategy to promote its brand, engage with the school community (prospective and current students, parents, alumni, and staff), and support admissions and communication goals. This role requires a strong understanding of various social media",VacancyMail,schoolrecruitment2022@gmail.com
CALL FOR EXPRESSION OF INTEREST TO HOST SIDE SESSIONS AT #ZAMI25,Zimbabwe Environmental Law Association (ZELA),Bulawayo,NGO & Development,Expires 07 Sep 2025,"Theme: From extraction to sustainable development: unlocking Zimbabwe's mineral wealth for inclusive growth in the just energy transition. BACKGROUND Zimbabwe Coalition on Debt and Development (ZIMCODD), Zimbabwe Council of Churches (ZCC) & Zimbabwe Environmental Law Association (ZELA) are seeking expressions of interest to host half-day side sessions at the 13th",VacancyMail,joyce@zela.org
GENERAL HAND,Hammer and Tongues Africa Holdings,Harare,Other,Expires 05 Sep 2025,"Cleaning, Washing and Preparing meals",VacancyMail,zimexecposts2030@gmail.com
Sales Representative,N/A,Harare,Sales & Marketing,Expires 04 Sep 2025,"On behalf of our client, we are recruiting for the position of Sales Representative. We are seeking a driven and results-oriented individual to join their team. The successful candidate will be responsible for identifying potential clients, making cold calls, following up on leads, conducting client meetings, preparing proposals, and delivering",VacancyMail,hr@mjconsultants.co.zw
CALL FOR EXPRESSION OF INTEREST : Support to private sector for development and launch of products based on traditional ingredients,Bio-Innovation Zimbabwe (BIZ),Harare,NGO & Development,Expires 03 Sep 2025,"CALL FOR EXPRESSION OF INTEREST Support to private sector for development and launch of products based on traditional ingredients Deadline: 3 September 2025, 5pm This is a call to support work under the BMZ-funded Building inclusive, diverse and quality food systems in Mudzi and Rushinga districts (Pundutso) project, implemented by",VacancyMail,N/A
ICT TECHNICIAN (1 post),Zimbabwe Ezekiel Guti University,Bindura,Human Resources,Expires 03 Sep 2025,Zimbabwe Ezekiel Guti University (ZEGU) is inviting suitably qualified personnel to fill in the following post:,VacancyMail,hr@zegu.ac.zw
Electrical Engineer - Events Company,Prime Talent Solutions,Harare,Engineering,Expires 01 Sep 2025,"Location: Harare Our client is a leading events planning company specializing in large-scale concerts, festivals, corporate events, and exhibitions. With a focus on delivering seamless, innovative experiences, they are committed to creating unforgettable moments for audiences and clients alike. They are currently seeking a skilled Electrical Engineer to join their",VacancyMail,recruitment@pts.co.zw
Wages Clerk,N/A,Harare,Administration,Expires 01 Sep 2025,Wages Clerk wanted,VacancyMail,nikkisamjones@gmail.com
A'Level Business Studies & Economics Teacher,N/A,Harare,Education & Training,Expires 01 Sep 2025,Are you a passionate educator with a strong background in Business Studies and Economics? Join our vibrant team at a leading institution in Harare dedicated to academic excellence and holistic development. Position Available: Advanced Level Business Studies & Economics Teacher,VacancyMail,academyhre@gmail.com
BURSAR,ZIMCARE TRUST,Harare,Finance & Banking,Expires 31 Aug 2025,"The Bursar is responsible for professional handling of all finances at the centre, submitting returns and preparing all books for both internal and external audit.",VacancyMail,zimcarerecruitment@gmail.com
Auto Mechanic,N/A,Harare,Other,Expires 31 Aug 2025,A new division in an established company is seeking to employ full time on-site auto mechanics who will be stationed at a fitment centre.,VacancyMail,hr.cardence@gmail.com
Mine Surveyor,Zimasco (Pvt) Limited,Shurugwi,IT & Technology,Expires 31 Aug 2025,"VACANCY NOTICE Zimasco (Pvt) Limited, a major player in Zimbabwe's Ferrochrome sector, has an exciting and challenging career opportunity within its Shurugwi & South Dyke Mining Division. Applications are invited from suitably qualified, competent and experienced individuals to fill the vacant posts of Mine Surveyor on a 3 years Fixed-Term",VacancyMail,recruitment@zimasco.co.zwCLOSING
SENIOR NURSE AIDE (PA/Secretary) to NURSING MATRON,DOMBOSHAVA MEDCLINIC,Harare,Healthcare,Expires 31 Aug 2025,1. Internet essentials 2. Reception duties 3. Communication with external stakeholders 4. Hospital secretarial duties 5. Minute taking 6. Assist the Midwife as a senior nurse aide 7. Assist the dentist during clinical work. 8. AODs as directed by Matron This is not a position for chancers. Only those who,VacancyMail,N/A
Procurement and logistics officer,Plus Five Pharmaceuticals,Bulawayo,Transportation & Logistics,Expires 31 Aug 2025,"As a Procurement And Logistics Officer, you will be responsible for managing the procurement of raw materials, supplies, and equipment, as well as coordinating logistics and supply chain operations to ensure timely and efficient delivery of products. This is an urgent requirement, and the successful candidate will be expected to",VacancyMail,pplusfivehealthcare01@gmail.comCc
Group Managing Director,N/A,Harare,Management,Expires 31 Aug 2025,Group Managing Director,VacancyMail,recruitment.miningzimbabwe@gmail.com
Sales Agents: MicroMed,First Mutual Holdings Limited,Mutare,Sales & Marketing,Expires 31 Aug 2025,We're Hiring Sales Agents Job description We are seeking motivated sales agents to sell our health insurance product in the following cities: 1. Harare 2. Bulawayo 3. Gweru 4. Masvingo 5. Mutare 6. Zvishavane 7. Beitbridge 8. Kadoma 9. Chinhoyi,VacancyMail,MicromedFMHC@firstmutual.co.zw
Group Project Management Administrator,N/A,Harare,Administration,Expires 31 Aug 2025,Group Project Management Administrator,VacancyMail,recruitment.miningzimbabwe@gmail.com
Guest House Manager,Hilton Transfers International,Bulawayo,Management,Expires 31 Aug 2025,"Job Title: Guest House Manager (Harare & Bulawayo) Location: Harare & Bulawayo (Dual-Site Management) Employment Type: Full-Time About the Role: We are seeking a dynamic and results-driven *Guest House Manager* to oversee operations at our Harare and Bulawayo guest houses. The ideal candidate will be responsible for driving sales, ensuring",VacancyMail,accounts@hiltontransfers.com
DENTAL & MEDICAL SURGERY ASSISTANT/NURSE AIDE ATTACHEE,DOMBOSHAVA MEDCLINIC,Harare,Healthcare,Expires 31 Aug 2025,This is not a position for chancers. Only those who comply with minimum listed requirements can apply. What is a dental surgery assistant? This is a trainee position not a job offer. During and after training your responsibilities may include preparing patients and the operating room for the dentist. You,VacancyMail,N/A
Sales Agents: MicroMed,First Mutual Holdings Limited,Mutare,Sales & Marketing,Expires 31 Aug 2025,We're Hiring Sales Agents Job description We are seeking motivated sales agents to sell our health insurance product in the following cities: 1. Harare 2. Bulawayo 3. Gweru 4. Masvingo 5. Mutare 6. Zvishavane 7. Beitbridge 8. Kadoma 9. Chinhoyi,VacancyMail,MicromedFMHC@firstmutual.co.zw
Telesales Representative - Pharmaceutical and Beauty Care Products,Plus Five Pharmaceuticals,Harare,Sales & Marketing,Expires 30 Aug 2025,"As a Telesales Representative, you will be responsible for selling our range of pharmaceutical and beauty care products to our target market via telephone. You will build relationships with customers, identify new sales opportunities, and achieve sales targets.",VacancyMail,pplusfivehealthcare01@gmail.com
INTERNS- SALES AND MARKETING / SUPPLY CHAIN MANAGEMENT,Nash Paints,Harare,Sales & Marketing,Expires 30 Aug 2025,Nash Paints is looking for Sales and Marketing/ Supply Chain Management Attachees to join their organization.,VacancyMail,N/A
Van sales representatives,Plus Five Pharmaceuticals,Harare,Sales & Marketing,Expires 30 Aug 2025,"A leading distributor of pharmaceutical and beauty care products in Zimbabwe. We are seeking a skilled and experienced Van Sales Representative to join our team and drive sales growth to supermarkets, pharmacies, and shops in Harare and the surrounding provinces. As a Van Sales Representative, you will be responsible for",VacancyMail,pplusfivehealthcare01@gmail.com
Web & Graphic Designer,N/A,Harare,NGO & Development,Expires 30 Aug 2025,"We are looking for a talented individual who not only has a strong aesthetic sense but also possesses robust technical skills in website development, specifically with WordPress and Elementor. This role is perfect for a self-motivated learner who is passionate about creating seamless and engaging digital experiences. You will be",VacancyMail,tohr@mjconsultancy.co.zw
Till Operators and Shop Assistants,Southsea Investments Pvt Ltd,Harare,Administration,Expires 30 Aug 2025,"Are you passionate about retail and looking for a rewarding career? We are a leading retail company committed to excellence, customer satisfaction, and employee growth. We are currently hiring for multiple positions across various departments. If you have the skills, experience, and enthusiasm to thrive in a fast-paced retail environment,",VacancyMail,opportunities@spar.co.zw
Office Junior Cook,Traversal Trading,Harare,Administration,Expires 29 Aug 2025,"The incumbent will be responsible for preparing daily meals for employees at the office premises, ensuring cleanliness, hygiene, and timely service",VacancyMail,hr@traversal.co.zw
Quantity Surveyor,Traversal Trading,Harare,Consulting,Expires 29 Aug 2025,"As a Quantity Surveyor, your primary responsibility is to manage and control the costs associated with construction projects. You will work closely with architects, engineers, contractors, and other stakeholders to ensure that projects are completed within budget while maintaining quality standards. Your expertise in cost estimation, project evaluation, and contract",VacancyMail,hr@traversal.co.zw
STORE BUYER,Southsea Investments Pvt Ltd,Harare,Finance & Banking,Expires 29 Aug 2025,An exciting opportunity has arisen for suitably qualified and self-driven individuals in one of the leading FMCG in Zimbabwe to fill in the position of a Store Buyer. The role entails ensuring 100% availability of the store's stock through establishing dependable supply sources and purchase products to the store's exact,VacancyMail,hr@southsea.co.zw
Junior Quantity Surveyor,Traversal Trading,Harare,Consulting,Expires 29 Aug 2025,"As a Quantity Surveyor, your primary responsibility is to manage and control the costs associated with construction projects. You will work closely with architects, engineers, contractors, and other stakeholders to ensure that projects are completed within budget while maintaining quality standards. Your expertise in cost estimation, project evaluation, and contract",VacancyMail,hr@traversal.co.zw
Junior Quantity Surveyor,Traversal Trading,Harare,Consulting,Expires 29 Aug 2025,"As a Quantity Surveyor, your primary responsibility is to manage and control the costs associated with construction projects. You will work closely with architects, engineers, contractors, and other stakeholders to ensure that projects are completed within budget while maintaining quality standards. Your expertise in cost estimation, project evaluation, and contract",VacancyMail,hr@traversal.co.zw
Primary School Teacher,N/A,Bindura,Education & Training,Expires 29 Aug 2025,"Our school seeks a qualified and dedicated Primary School Teacher to join our academic staff for the Third term 2025. The successful candidates will be responsible for delivering high-quality instruction in all core subjects, fostering a positive and productive learning environment, and assessing student progress effectively. We are looking for",VacancyMail,schoolrecruitment2022@gmail.com
Finance and Administration Manager,Traversal Trading,Harare,Finance & Banking,Expires 29 Aug 2025,"Oversee the Finance and Administration function and ensure seamless integration of all systems, processes, and procedures.",VacancyMail,hr@traversal.co.zw
Office Junior Cook,Traversal Trading,Harare,Administration,Expires 29 Aug 2025,"The incumbent will be responsible for preparing daily meals for employees at the office premises, ensuring cleanliness, hygiene, and timely service",VacancyMail,hr@traversal.co.zw
"Senior Program Manager: Climate, Environment and Health  (Mt Darwin/ Harare)",CeSHHAR Zimbabwe,Harare,IT & Technology,Expires 29 Aug 2025,"CeSHHAR Zimbabwe is an organisation that specialises in population health research and programming, including on sexual and reproductive health and HIV/AIDS. CeSHHAR has an extensive national, regional, and international academic and community partnership network. CeSHHAR has a diverse range of funders which include the Wellcome Trust, Gates Foundation, United States",VacancyMail,vacancies@ceshhar.org
Social Media Officer,Traversal Trading,Harare,Sales & Marketing,Expires 29 Aug 2025,"The incumbent will support the marketing and communications function by managing online presence, engaging audiences, and promoting the company's services and products.",VacancyMail,hr@traversal.co.zw
Irrigation Technician,Traversal Trading,Harare,Agriculture,Expires 29 Aug 2025,"The Irrigation Technician will install, maintain, and repair irrigation systems for landscaping, construction sites, and agricultural projects.",VacancyMail,hr@traversal.co.zw
Technical Business Development Officer,Traversal Trading,Harare,Sales & Marketing,Expires 29 Aug 2025,"The role is responsible for driving sales of construction materials (industrial pipes, hardware, and related products) and securing new business opportunities in the construction sector.",VacancyMail,hr@traversal.co.zw
Cashier,N/A,Chiredzi,Sales & Marketing,Expires 29 Aug 2025,"We are seeking a vibrant and customer-focused Cashier to join our client's team in Chiredzi. The ideal candidate should not only be efficient in handling transactions but also have a strong sales background and excellent upselling skills. A positive attitude, the ability to smile and engage warmly with customers, and",VacancyMail,hr@mjconsultants.co.zw
NURSE ANAESTHETIST X1 - ZVISHAVANE,Cell Insurance Group,Zvishavane,Healthcare,Expires 29 Aug 2025,Applications are invited from suitably qualified and experienced candidates to fill the position of RGN-Anaesthetist that has arisen at Nectacare Private Limited in Zvishavane.,VacancyMail,hr@cellinsurance.co.zw
Transport Officer,N/A,Harare,Transportation & Logistics,Expires 28 Aug 2025,"We are looking for an energetic, motivated and detail oriented transport officer to work in the private security industry Duties and responsibilities: Job summary Seeking a transport officer to work in the private security industry. This role plays a vital for supporting the transport departments",VacancyMail,trnsprtofficer@gmail.com
Sound Engineer,N/A,Harare,Engineering,Expires 28 Aug 2025,Sound Engineer Wanted We're seeking a talented Sound Engineer to join our dynamic team.,VacancyMail,engineersound28@gmail.com
Sales and Marketing Officer,N/A,Harare,Sales & Marketing,Expires 28 Aug 2025,"We are recruiting on behalf of our client for a dynamic and results-driven Sales & Marketing Officer. This is an exciting opportunity for a mature and experienced individual who is passionate about sales and marketing, and eager to drive business growth through client acquisition, brand visibility, and market development in",VacancyMail,hr@mjconsultants.co.zw
Sales Person,N/A,Harare,Sales & Marketing,Expires 28 Aug 2025,We are Hiring!  Sales Person,VacancyMail,brrecruitment2025@gmail.com
MARKETING AND EVENTS OFFICER,Contact Centre Association of Zimbabwe,Harare,Sales & Marketing,Expires 27 Aug 2025,Are you passionate about enhancing customer experiences and driving impactful marketing strategies? We are seeking a motivated *Marketing and Events Officer* to join our dynamic team! - Be part of a forward-thinking organisation dedicated to improving customer experiences. - Work in a collaborative and supportive environment. - Enjoy opportunities for,VacancyMail,cxazjobs@gmail.com
"Radiographer - Bulawayo *3, Harare *3 (Part-time)",Population Solutions for Health,Harare,Healthcare,Expires 27 Aug 2025,"The Radiographer is responsible for providing radiography services and assisting in the diagnosis of lung health conditions at the New Start Centre clinic and during outreach. The role involves preparing patients for chest X-ray, operating the ultraportable CAD4TB equipment, maintaining the equipment and ensuring accurate data collection, and interpretation of",VacancyMail,recruitment@psh.org.zw
"Outreach Workerx1, Mutare",CeSHHAR Zimbabwe,Harare,IT & Technology,Expires 27 Aug 2025,"CeSHHAR Zimbabwe is an organisation that specialises in population health research and programming, including on sexual and reproductive health and HIV/AIDS. CeSHHAR has an extensive national, regional, and international academic and community partnership network. CeSHHAR has a diverse range of funders which include the Wellcome Trust, the Gates Foundation, UK",VacancyMail,vacancies@ceshhar.co.zw
Commission-Based Direct Sales Agent for a Microfinance Bank,N/A,Harare,Sales & Marketing,Expires 26 Aug 2025,"To drive customer acquisition for Bank's loan and deposit products by sourcing clients from government institutions, private companies, and village communities within designated branch jurisdictions. The DSA is responsible for marketing bank products, collecting applications, and forwarding them to the branch for processing. This is a commission-based role, with earnings",VacancyMail,N/A
SALES REPRESENTATIVE,N/A,Harare,Sales & Marketing,Expires 26 Aug 2025,"We are seeking a young, energetic, and enthusiastic Sales Representative aged between 19 and 21 years, who is quick to learn and confident in speaking to clients. The ideal candidate should possess strictly O' and A' Level qualifications and be passionate about sales, customer service, and building long-term client relationships.",VacancyMail,hr@mjconsultants.co.zw
Communications Intern,N/A,Harare,Administration,Expires 25 Aug 2025,"Hospice and Palliative Care Association of Zimbabwe (HOSPAZ)PVO13/99, is a member-based organization registered in 1999 as a Private Voluntary Organization responsible for coordinating and building the capacity of organizations that provide and support palliative care and home care in Zimbabwe. The organization seeks to engage a highly motivated and creative",VacancyMail,information@hospaz.co.zw
Sales &Marketing Representative,Wovenstars,Harare,Sales & Marketing,Expires 25 Aug 2025,"Applications are invited from suitably qualified and experienced persons to fill in the position of a Sales and Marketing Representative responsible for building and maintaining customer relationships, tracking sales data and producing performance reports.",VacancyMail,recruitment@prodex.co.zw
Caretaker,Avondale Primary,Harare,Education & Training,Expires 25 Aug 2025,"JOB ADVERT: CARETAKER Position: Caretaker Location: Avondale Primary School Type: Full-time/Part-time About the Role: We are looking for a reliable Caretaker to maintain our school's facilities, ensuring a clean and safe environment for our students.",VacancyMail,N/A
Administrator/Receptionist,N/A,Harare,Administration,Expires 25 Aug 2025,"We're Hiring! Medical Front Office Administrator/Receptionist Are you a highly organized and compassionate professional with experience in a medical setting? We're looking for a dedicated Medical Front Office Administrator to join our team at a busy medical practice in Harare. As the first point of contact for our patients, you'll",VacancyMail,urolink19@gmail.com
Salesperson (Female) : RideSure Auto Imports,N/A,Harare,Sales & Marketing,Expires 25 Aug 2025,RideSure auto imports We're Hiring Salesperson (Female) We're looking for a motivated and dynamic Salesperson with a passion for sales and cars to join our motor vehicle import team.,VacancyMail,ridesurerecruitment@gmail.com
Communications Intern,N/A,Harare,Administration,Expires 25 Aug 2025,"Hospice and Palliative Care Association of Zimbabwe (HOSPAZ)PVO13/99, is a member-based organization registered in 1999 as a Private Voluntary Organization responsible for coordinating and building the capacity of organizations that provide and support palliative care and home care in Zimbabwe. The organization seeks to engage a highly motivated and creative",VacancyMail,information@hospaz.co.zw
Loans Officers,N/A,Harare,Finance & Banking,Expires 25 Aug 2025,Wildfin Microfinance is hereby looking for loans officers,VacancyMail,humanresource@wildfinmicrofinance.co.zw
TRAINEE SECTION MANAGER X 1,Green Fuel,Chipinge,Management,Expires 25 Aug 2025,Applications are invited from suitably qualified individuals to fill the above vacancy that has arisen in the Fields Department. The successful incumbent(s) will undergo an intensive two-year graduate learnership program.,VacancyMail,human.resources@ratingmiddlesabi.co.zw
"Consultancy Opportunity: Data Mining, Analysis, and Production of Human Impact Stories on women's health for Policy Reform Advocacy",N/A,Harare,Healthcare,Expires 25 Aug 2025,"Background Women and Law in Southern Africa Zimbabwe (WLSA) is implementing the Enhancing Gender Responsiveness in Health Law and Policy in Zimbabwe (EGRHPZ) project. This initiative aims to improve access to maternal health rights for women and girls by advocating for gender-sensitive reforms in Zimbabwe's health laws, policies, and practices.",VacancyMail,procurement315@gmail.com
Internal Auditor,National Biotechnology Authority,Harare,Finance & Banking,Expires 25 Aug 2025,"The National Biotechnology Authority is seeking a detail-oriented and proactive Internal Auditor to join our team. In this pivotal role, you will be responsible for evaluating our internal controls, compliance, and operational efficiency. The successful incumbent will help strengthen the Authority's financial integrity and ensure adherence to regulatory standards. Qualified",VacancyMail,vacancies@nba.ac.zw
