Job Title,Company,Location,Category,Expiry Date,Description,Source Site,Apply Email
Sales Agents: MicroMed,First Mutual Holdings Limited,Mutare,Healthcare,Expires 31 Aug 2025,We're Hiring Sales Agents Job description We are seeking motivated sales agents to sell our health insurance product in the following cities: 1. Harare 2. Bulawayo 3. Gweru 4. Masvingo 5. Mutare 6. Zvishavane 7. Beitbridge 8. Kadoma 9. Chinhoyi,vacancymail.co.zw,MicromedFMHC@firstmutual.co.zw
DENTAL & MEDICAL SURGERY ASSISTANT/NURSE AIDE ATTACHEE,DOMBOSHAVA MEDCLINIC,Harare,Healthcare,Expires 31 Aug 2025,This is not a position for chancers. Only those who comply with minimum listed requirements can apply. What is a dental surgery assistant? This is a trainee position not a job offer. During and after training your responsibilities may include preparing patients and the operating room for the dentist. You,vacancymail.co.zw,N/A
Procurement and logistics officer,Plus Five Pharmaceuticals,Bulawayo,Administration,Expires 31 Aug 2025,"As a Procurement And Logistics Officer, you will be responsible for managing the procurement of raw materials, supplies, and equipment, as well as coordinating logistics and supply chain operations to ensure timely and efficient delivery of products. This is an urgent requirement, and the successful candidate will be expected to",vacancymail.co.zw,pplusfivehealthcare01@gmail.comCc
Sales Agents: MicroMed,First Mutual Holdings Limited,Mutare,Healthcare,Expires 31 Aug 2025,We're Hiring Sales Agents Job description We are seeking motivated sales agents to sell our health insurance product in the following cities: 1. Harare 2. Bulawayo 3. Gweru 4. Masvingo 5. Mutare 6. Zvishavane 7. Beitbridge 8. Kadoma 9. Chinhoyi,vacancymail.co.zw,MicromedFMHC@firstmutual.co.zw
Telesales Representative - Pharmaceutical and Beauty Care Products,Plus Five Pharmaceuticals,Harare,Sales & Marketing,Expires 30 Aug 2025,"As a Telesales Representative, you will be responsible for selling our range of pharmaceutical and beauty care products to our target market via telephone. You will build relationships with customers, identify new sales opportunities, and achieve sales targets.",vacancymail.co.zw,pplusfivehealthcare01@gmail.com
Till Operators and Shop Assistants,Southsea Investments Pvt Ltd,Harare,Finance & Banking,Expires 30 Aug 2025,"Are you passionate about retail and looking for a rewarding career? We are a leading retail company committed to excellence, customer satisfaction, and employee growth. We are currently hiring for multiple positions across various departments. If you have the skills, experience, and enthusiasm to thrive in a fast-paced retail environment,",vacancymail.co.zw,opportunities@spar.co.zw
Van sales representatives,Plus Five Pharmaceuticals,Harare,Sales & Marketing,Expires 30 Aug 2025,"A leading distributor of pharmaceutical and beauty care products in Zimbabwe. We are seeking a skilled and experienced Van Sales Representative to join our team and drive sales growth to supermarkets, pharmacies, and shops in Harare and the surrounding provinces. As a Van Sales Representative, you will be responsible for",vacancymail.co.zw,pplusfivehealthcare01@gmail.com
INTERNS- SALES AND MARKETING / SUPPLY CHAIN MANAGEMENT,Nash Paints,Harare,Sales & Marketing,Expires 30 Aug 2025,Nash Paints is looking for Sales and Marketing/ Supply Chain Management Attachees to join their organization.,vacancymail.co.zw,N/A
Web & Graphic Designer,N/A,Harare,IT & Technology,Expires 30 Aug 2025,"We are looking for a talented individual who not only has a strong aesthetic sense but also possesses robust technical skills in website development, specifically with WordPress and Elementor. This role is perfect for a self-motivated learner who is passionate about creating seamless and engaging digital experiences. You will be",vacancymail.co.zw,tohr@mjconsultancy.co.zw
NURSE ANAESTHETIST X1 - ZVISHAVANE,Cell Insurance Group,Zvishavane,Healthcare,Expires 29 Aug 2025,Applications are invited from suitably qualified and experienced candidates to fill the position of RGN-Anaesthetist that has arisen at Nectacare Private Limited in Zvishavane.,vacancymail.co.zw,hr@cellinsurance.co.zw
"Senior Program Manager: Climate, Environment and Health  (Mt Darwin/ Harare)",CeSHHAR Zimbabwe,Harare,Healthcare,Expires 29 Aug 2025,"CeSHHAR Zimbabwe is an organisation that specialises in population health research and programming, including on sexual and reproductive health and HIV/AIDS. CeSHHAR has an extensive national, regional, and international academic and community partnership network. CeSHHAR has a diverse range of funders which include the Wellcome Trust, Gates Foundation, United States",vacancymail.co.zw,vacancies@ceshhar.org
Primary School Teacher,N/A,Bindura,Education & Training,Expires 29 Aug 2025,"Our school seeks a qualified and dedicated Primary School Teacher to join our academic staff for the Third term 2025. The successful candidates will be responsible for delivering high-quality instruction in all core subjects, fostering a positive and productive learning environment, and assessing student progress effectively. We are looking for",vacancymail.co.zw,schoolrecruitment2022@gmail.com
NURSE ANAESTHETIST X1 - ZVISHAVANE,Cell Insurance Group,Zvishavane,Healthcare,Expires 29 Aug 2025,Applications are invited from suitably qualified and experienced candidates to fill the position of RGN-Anaesthetist that has arisen at Nectacare Private Limited in Zvishavane.,vacancymail.co.zw,hr@cellinsurance.co.zw
Sales and Marketing Officer,N/A,Harare,Sales & Marketing,Expires 28 Aug 2025,"We are recruiting on behalf of our client for a dynamic and results-driven Sales & Marketing Officer. This is an exciting opportunity for a mature and experienced individual who is passionate about sales and marketing, and eager to drive business growth through client acquisition, brand visibility, and market development in",vacancymail.co.zw,hr@mjconsultants.co.zw
SALES REPRESENTATIVE,N/A,Harare,Sales & Marketing,Expires 26 Aug 2025,"We are seeking a young, energetic, and enthusiastic Sales Representative aged between 19 and 21 years, who is quick to learn and confident in speaking to clients. The ideal candidate should possess strictly O' and A' Level qualifications and be passionate about sales, customer service, and building long-term client relationships.",vacancymail.co.zw,hr@mjconsultants.co.zw
Sales &Marketing Representative,Wovenstars,Harare,IT & Technology,Expires 25 Aug 2025,"Applications are invited from suitably qualified and experienced persons to fill in the position of a Sales and Marketing Representative responsible for building and maintaining customer relationships, tracking sales data and producing performance reports.",vacancymail.co.zw,recruitment@prodex.co.zw
Casual Driver Class 2,N/A,Harare,Transportation & Logistics,Expires 24 Aug 2025,Persons wanted for casual/driver and must be 18 years and above,vacancymail.co.zw,marketing@proclassicgroup.com
Attach Digital Marketing Officer (Rusape),Symdunes Financial Services,Rusape,IT & Technology,Expires 24 Aug 2025,"The Attach Digital Marketing Officer will be responsible for creating and executing digital marketing campaigns that increase brand awareness, generate leads, and convert passive audiences to active customers as well as identifying and pursuing business opportunities. The Attach Digital Marketing Officer will report to the Marketing Officer.",vacancymail.co.zw,cvsymdunes@gmail.com
Sales and Marketing Attachment,N/A,Mutare,Sales & Marketing,Expires 24 Aug 2025,Persons wanted for Sales and marketing attachment position in Mutare and must be 18 years and above.,vacancymail.co.zw,marketing@proclassicgroup.com
Driver,PELUM (Participatory Ecological Land Use Management Association),Harare,IT & Technology,Expires 23 Aug 2025,"Position:Driver Location:Harare, with frequent travel to various districts Type:Full-time, 1-year contract (renewable based on performance) Reports to:Finance and Administration Officer Organizational Background Participatory Ecological Land Use Management (PELUM) Zimbabwe is a programme of the Zimbabwe Institute of Permaculture (ZIP), structured as a network of primarily civil society organizations working to",vacancymail.co.zw,pelumapps@gmail.com
INVITATION TO EXPRESS INTEREST,PELUM (Participatory Ecological Land Use Management Association),Harare,Engineering,Expires 22 Aug 2025,"SUBJECT: OPEN CALL FOR EXPRESSIONS OF INTEREST FOR CONSTRUCTION OF OFFICE SUPERSTRUCTURE. PELUM Zimbabwe is inviting qualified and experienced construction companies to submit Expressions of Interest (EOI) for the construction of the superstructure of its new office building, located in Mt. Hampden. Scope of Work",vacancymail.co.zw,info@pelumzimbabwe.org
INVITATION TO EXPRESS INTEREST,PELUM (Participatory Ecological Land Use Management Association),Harare,Engineering,Expires 22 Aug 2025,"SUBJECT: OPEN CALL FOR EXPRESSIONS OF INTEREST FOR CONSTRUCTION OF OFFICE SUPERSTRUCTURE. PELUM Zimbabwe is inviting qualified and experienced construction companies to submit Expressions of Interest (EOI) for the construction of the superstructure of its new office building, located in Mt. Hampden. Scope of Work",vacancymail.co.zw,info@pelumzimbabwe.org
Call for Expression of Interest (EOI) REQUEST FOR PROPOSALS FOR THE PROVISION OF EXTERNAL AUDITING SERVICES.,SOS Children's Villages Zimbabwe,Harare,Finance & Banking,Expires 22 Aug 2025,"General Information SOS Children's Villages is an independent, non-governmental international development organization which has been working to meet the needs and protect the interests and rights of children since 1949. SOS Children's Villages is the largest non-governmental, non-denominational charitable child welfare organisation in the world operating in 136 countries and",vacancymail.co.zw,procurement.sos@sos-zimbabwe.orgThe
General Manager - Auctioneering Division,N/A,Harare,Management,Expires 20 Aug 2025,ANONYMOUS JOB ADVERTISEMENT 1. GENERAL MANAGER - AUCTIONEERING DIVISION JOB SUMMARY Overall Management of Auction Business,vacancymail.co.zw,realpropertieszim@gmail.com
Reservation Manager (Manor House),Traverze Travel,Harare,Administration,Expires 20 Aug 2025,"As the Reservation Manager, you will oversee all bookings and reservations at The Manor House, ensuring a seamless guest experience from inquiry to arrival. Your role is central to optimizing occupancy, maintaining guest satisfaction, and supporting front-of-house efficiency.",vacancymail.co.zw,perfect@lounge.co.zw
Security Guards,N/A,Harare,Human Resources,Expires 20 Aug 2025,"We are conducting an explosive mass recruitment drive for a minimum of 100 experienced, mature, and highly disciplined proffessional Security Guards to be deployed at a strategic mining environment between Chegutu, Kwekwe Mt Darwin and Harare Regions. This is a serious, high-demand opportunity suited for professionals ready to serve with",vacancymail.co.zw,vacancies2018@gmail.com
Finance Manager - Property Division,N/A,Harare,Finance & Banking,Expires 20 Aug 2025,FINANCE MANAGER - PROPERTY DEVELOPMENT DIVISION JOB SUMMARY Overall Management of the Finance Function for the Real Estate Division,vacancymail.co.zw,realpropertieszim@gmail.com
Sales and Marketing Intern,High Performance Lubes,Harare,Education & Training,Expires 19 Aug 2025,High Performance Lubricants is inviting applications for Sales and Marketing Intern positions to actively promote our products and brand. The student will be given an opportunity to develop practical skills and gain real world experiences in the Sales and Marketing field.,vacancymail.co.zw,recruitment@prodex.co.zw
Assistant House Parent,SOS Children's Villages Zimbabwe,Bindura,Administration,Expires 18 Aug 2025,"About Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect the interests and rights of children without parental care and those who are at the risk of losing it. SOS Children's Villages Association of Zimbabwe is",vacancymail.co.zw,Resourcing.SOS@sos-zimbabwe.org
General Hand,SOS Children's Villages Zimbabwe,Bindura,Education & Training,Expires 18 Aug 2025,"GENERAL HAND SOS HERMANN GMEINER SECONDARY SCHOOL BINDURA (Job Ref: HGSS/04/08/25) Position title:  General Hand Working location: SOS Hermann Gmeiner Secondary School. Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect",vacancymail.co.zw,Resourcing.SOS@sos-zimbabwe.orgor
Localisation Consultancy for the Zimbabwe Environmental Law Association (ZELA),Zimbabwe Environmental Law Association (ZELA),Harare,Legal,Expires 18 Aug 2025,"The Zimbabwe Environmental Law Association (ZELA) is a public interest environmental law organisation promoting environmental justice, sustainable and equitable use of natural resources, and good governance. With a rights-based approach rooted in Environmental, Economic, Social, and Cultural Rights (EESCR), ZELA works extensively with grassroots communities, including through its community monitors,",vacancymail.co.zw,procurementzw@gmail.com
NATIONAL AND EXPORT MARKET FEASIBILITY STUDY CONSULTANCY,Nyahunure Community Organisation,Murehwa,Sales & Marketing,Expires 18 Aug 2025,TERMS OF REFERENCE FOR NATIONAL AND EXPORT MARKET FEASIBILITY STUDY Nyahunure Community Organisation (NCO) and Christian Aid are looking for a consultant to conduct a 15-day National and Export Market Feasibility Study designed to enhance export market opportunities for smallholder women farmer groups in the Mashonaland East production corridor. This,vacancymail.co.zw,nyahunure2006@gmail.com
Scarp Yard Clients Manager,N/A,Harare,Sales & Marketing,Expires 17 Aug 2025,"Location: Harare, Zimbabwe Position Type: Full-Time We are seeking a motivated and results-driven Scrap Yard Clients Manager to join our team in Harare. The ideal candidate must be confident in sales, cold calling, and client engagement-especially within the scrap metal sector.",vacancymail.co.zw,chaddefranche@gmail.com
Van Salesman - Manicaland Province,Panmart,Mutare,Sales & Marketing,Expires 17 Aug 2025,We are looking for an experienced and self-driven Van Salesman to join our growing team in Manicaland. The successful candidate will be responsible for selling and distributing our range of fast-moving dry groceries to various retail outlets and customers across the province.,vacancymail.co.zw,admin@mauriberg.co.zw
Resource Development & New Business Development (NBD) Manager - Zimbabwe,Save the Children International,Harare,Sales & Marketing,Expires 17 Aug 2025,"RESOURCE DEVELOPMENT AND NEW BUSINESS DEVELOPMENT MANAGER ROLE PURPOSE: The Resource Development & New Business Development (NBD) Manager - Zimbabwe is a pivotal role in supporting Save the Children Zimbabwe and the wider Malawi-Zimbabwe Cluster to anticipate, adapt, and respond to the changing development and humanitarian funding landscape. This role",vacancymail.co.zw,N/A
Operations Manager - Clinical Laboratory,Parrogate Zimbabwe (PVT) Ltd,Harare,Healthcare,Expires 16 Aug 2025,"An exciting opportunity awaits for an experienced Laboratory Operations Manager for a Clinical Laboratory Company to join their highly professional health care team. The Operations Manager oversees the end-to-end administrative and logistical functions of the clinical laboratory. This role ensures optimal workflow, staff efficiency, service delivery, and regulatory compliance. The",vacancymail.co.zw,vacancieshr81@gmail.com
French and Chinese Teacher,Mother Touch Group of Schools,Victoria Falls,Education & Training,Expires 16 Aug 2025,"Mother Touch Group of Schools is seeking passionate and qualified Chinese and French Teachers to join our dynamic team across Junior and Senior School levels. The successful candidate(s) will deliver engaging, age-appropriate lessons that inspire linguistic fluency and cultural appreciation. Key responsibilities include preparing learners for internal and external assessments,",vacancymail.co.zw,recruitment.mtgs@gmail.com
Headmaster,N/A,Harare,Education & Training,Expires 16 Aug 2025,"We are recruiting on behalf of our client a dynamic, principled, and visionary headmaster to lead our school into its next chapter of excellence. This is a unique opportunity for a leader who is passionate about education, committed to holistic development, incapable of fostering a culture of integrity, innovation, and",vacancymail.co.zw,hr@mjconsultants.co.zw
Chief Executive Officer (CEO): Solid Capital Investments,N/A,Harare,Finance & Banking,Expires 15 Aug 2025,Job Title: Chief Executive Officer (CEO) Location: Harare Company: Solid Capital Investments Zimbabwe (Pvt) Limited Application Deadline: 21 July 2025 About the Company Solid Capital Investments Zimbabwe (Pvt) Limited is a licensed and rapidly growing microfinance institution committed to providing inclusive financial services that empower individuals and small businesses. Our,vacancymail.co.zw,N/A
Reintegration Mentor,SOS Children's Villages Zimbabwe,Bindura,Management,Expires 15 Aug 2025,"(Job Ref: FLCB/04/08/25) Position title:  Reintegration Monitor Working location: Bindura Supervisor:  Social Worker Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect the interests and rights of children without parental",vacancymail.co.zw,Resourcing.SOS@sos-zimbabwe.org
Internal Audit Manager,N/A,Harare,Finance & Banking,Expires 15 Aug 2025,"The Internal Audit Manager oversees the bank's internal audit function, ensuring compliance with regulatory requirements, internal policies, and risk management standards. The role involves planning and conducting audits across key banking operations, identifying control weaknesses, and recommending improvements. The manager prepares audit reports, advises senior management, and follows up on",vacancymail.co.zw,N/A
Student's Attachment,Green Feathers Farm Pvt Ltd,Wedza or Hwedza,Education & Training,Expires 15 Aug 2025,"WHO WE ARE: We are a diversified agro-based business, situated 120 km South East of Harare. We specialise in sustainable crop production, livestock farming, beneficiation, and agro-tourism. AGRICULTURE STUDENTS' ATTACHMENT Students studying towards the following programs are encouraged to apply:  Degree in Crop Science or Equivalent  Degree in",vacancymail.co.zw,gffvacancy@gmail.com
Marketing Officer (Infinite Bloom),Traverze Travel,Harare,Sales & Marketing,Expires 15 Aug 2025,"We are a vibrant and growing floral business specializing in fresh cut flowers (Infinite Bloom), floral arrangements, and event floral dcor. Our mission is to bring beauty, creativity, and joy into every space with flowers. We are currently seeking a dynamic and creative Marketing Officer to join our team and",vacancymail.co.zw,perfect@lounge.co.zw
Stores Clerk x2 Re-Advert,Green Feathers Farm Pvt Ltd,Wedza or Hwedza,Human Resources,Expires 15 Aug 2025,"WHO WE ARE: We are a diversified agro-based business situated 120 km Southeast of Harare. We specialize in sustainable crop production, livestock farming, beneficiation, and agro-tourism. WHO WE ARE LOOKING FOR: As we continue to grow, we seek talented and experienced individuals to join our team in key roles that",vacancymail.co.zw,gffvacancy@gmail.comSubject
Student Attachees x 2 : Survey and & Geoinformatics,N/A,Harare,Education & Training,Expires 15 Aug 2025,"Applications are invited from undergraduate students in the department of Survey &Geoinformatics to fill in vacances that have arisen immediately. We are a Land Development company based in , Harare The students will be expected to perform various survey duties in the Survey department as part of their development.",vacancymail.co.zw,torecruitm794@gmail.com
Accountant (Victoria Falls),Southsea Investments Pvt Ltd,Victoria Falls,Finance & Banking,Expires 15 Aug 2025,"An exciting opportunity has risen for suitably qualified and self-driven individuals in a diversified conglomerate for an Accountant position. The successful candidate will be responsible for driving business performance by providing administrative, budgeting, and financial reporting support to the organization through the production of the company's financial reports and the",vacancymail.co.zw,hr@southsea.co.zw
Community Development Volunteer,SOS Children's Villages Zimbabwe,Shamva,Administration,Expires 15 Aug 2025,"COMMUNITY DEVELOPMENT VOLUNTEER (Job Ref: FSPB/04/08/25) Working location:  Shamva Supervisor:  Field Officer Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect the interests and rights of children without parental care",vacancymail.co.zw,Resourcing.SOS@sos-zimbabwe.orgNB
Reintegration Mentor,SOS Children's Villages Zimbabwe,Bindura,Management,Expires 15 Aug 2025,"(Job Ref: FLCB/04/08/25) Position title:  Reintegration Monitor Working location: Bindura Supervisor:  Social Worker Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect the interests and rights of children without parental",vacancymail.co.zw,Resourcing.SOS@sos-zimbabwe.org
Inter-Company Liaison Officer,N/A,Harare,Administration,Expires 15 Aug 2025,Inter-Company Liaison Officer,vacancymail.co.zw,recruitment.miningzimbabwe@gmail.com
Internal Audit Manager,N/A,Harare,Finance & Banking,Expires 15 Aug 2025,"The Internal Audit Manager oversees the bank's internal audit function, ensuring compliance with regulatory requirements, internal policies, and risk management standards. The role involves planning and conducting audits across key banking operations, identifying control weaknesses, and recommending improvements. The manager prepares audit reports, advises senior management, and follows up on",vacancymail.co.zw,N/A
Chief Executive Officer (CEO): Solid Capital Investments,N/A,Harare,Finance & Banking,Expires 15 Aug 2025,Job Title: Chief Executive Officer (CEO) Location: Harare Company: Solid Capital Investments Zimbabwe (Pvt) Limited Application Deadline: 21 July 2025 About the Company Solid Capital Investments Zimbabwe (Pvt) Limited is a licensed and rapidly growing microfinance institution committed to providing inclusive financial services that empower individuals and small businesses. Our,vacancymail.co.zw,N/A
Accounts Officer Debtors,Allied Timbers Zimbabwe (Pvt) Ltd,Harare,Administration,Expires 15 Aug 2025,"An exciting opportunity for the position of Accounts Officer - Debtors has arisen for a suitably qualified and experienced person at Allied Timbers Zimbabwe (Pvt) Ltd. Allied Timbers Zimbabwe (Pvt) Ltd is an extensive, local and international provider of high quality and durable timber-based solutions for both industrial, domestic and",vacancymail.co.zw,recruitment1@alliedtimbers.co.zw
Pharmacy Technician,Ponai Medical Centre - Avondale Urgent Care Clinic,Bindura,Healthcare,Expires 14 Aug 2025,Ponai Medical Centre is inviting applications from suitably qualified candidates for the post of Pharmacy Technician at our Bindura Branch.,vacancymail.co.zw,ponai.documents@gmail.com
Sales And Trade Marketing Officer - Imported Lines,The Buffalo Brewing Company,Harare,Sales & Marketing,Expires 14 Aug 2025,A growing player in the Alcoholic Beverage Industry is on the hunt for an aggressive salesperson with a proven track record of new brands to a market. Job Title: Sales And Trade Marketing Officer - Imported Lines Reports to: Imported Lines Manager Main Task The Sales and Trade Marketing Officer,vacancymail.co.zw,Recruitment@buffalo.co.zw
Call for a Consultant to Develop a Community based Mental Health Training manual for Wild4Life program,Pangaea Zimbabwe Aids Trust. PZAT,Harare,Healthcare,Expires 14 Aug 2025,"Introduction and background Pangaea Zimbabwe (PZ) is a registered local Private Voluntary Organization (PVO 10/20) that envisions a world in which all human beings live healthy, productive, and quality lives. PZ strives to transform the lives of underserved populations by working to increase access to quality, responsive, evidence-based, client-centered comprehensive",vacancymail.co.zw,recruitment@pangaeazw.org
Pharmacist,Ponai Medical Centre - Avondale Urgent Care Clinic,Bindura,Healthcare,Expires 14 Aug 2025,"Applications are invited from competent suitably qualified and experienced persons to fill in the position based Bindura,",vacancymail.co.zw,ponai.aucc@gmail.com
Property Sales Agent,N/A,Harare,Sales & Marketing,Expires 13 Aug 2025,"We are recruiting on behalf of our client for a professional, driven, and customer-focused Property Sales Agent who is passionate about real estate and thrives in a client-facing role. This position is perfect for someone who enjoys building relationships, showcasing properties, and closing deals. You'll be responsible for actively promoting",vacancymail.co.zw,hr@mjconsultants.co.zw
CEDIS Project business case and success story documentation,Mercy Corps,Mutare,Legal,Expires 13 Aug 2025,"Project/Consultancy Title: CEDIS Project business case and success story documentation Project Location(s): Bulawayo, Mutare, Harare Project: With funding from the Embassy of Sweden, Mercy Corps is implementing the Catalysing Economic Development through the Informal Sector (CEDIS) program. The 4-year programme aims to improve incomes, working conditions and resilience to shocks",vacancymail.co.zw,zw-procurement@mercycorps.org
